date,avg_sentiment,news_count
2017-12-18,-0.07307,40
2017-12-19,-0.179765,20
2017-12-20,0.00065,20
2017-12-21,0.05042,20
2017-12-22,0.01347,20
2017-12-25,-0.076985,20
2017-12-27,0.043535,20
2017-12-28,0.040825,20
2017-12-30,0.07839,20
2017-12-31,0.037695,20
2018-01-02,0.00127,20
2018-01-03,0.04359,20
2018-01-04,0.026985,20
2018-01-05,-0.04764,20
2018-01-06,-0.011665,20
2018-01-08,-0.032445,20
2018-01-09,-0.143785,20
2018-01-10,-0.02973,40
2018-01-11,-0.080525,20
2018-01-12,-0.13927,20
2018-01-14,-0.16764,20
2018-01-15,-0.18395,20
2018-01-16,-0.1842625,40
2018-01-17,-0.1531575,40
2018-01-18,-0.06904,40
2018-01-19,0.11052,20
2018-01-21,-0.055215,20
2018-01-22,-0.042425,20
2018-01-23,-0.01695,40
2018-01-24,-0.06585,20
2018-01-25,0.0058,20
2018-01-26,-0.1535975,40
2018-01-28,-0.03212,20
2018-01-29,-0.116865,20
2018-01-30,-0.0659225,40
2018-01-31,-0.023725,20
2018-02-01,-0.0709925,40
2018-02-03,-0.08457,20
2018-02-04,-0.04918,20
2018-02-05,-0.01739,20
2018-02-06,-0.1066525,40
2018-02-07,-0.053925,20
2018-02-08,0.00447,40
2018-02-09,-0.16802,20
2018-02-10,-0.112825,20
2018-02-12,-0.0384625,40
2018-02-14,-0.0911575,40
2018-02-16,-0.063115,40
2018-02-19,-0.05918,40
2018-02-20,-0.015875,20
2018-02-21,-0.140075,20
2018-02-22,-0.11635,40
2018-02-23,-0.00472,20
2018-02-25,-0.166775,20
2018-02-26,-0.017825,20
2018-02-27,0.053995,40
2018-02-28,0.13115,20
2018-03-01,-0.093085,20
2018-03-02,0.01469,20
2018-03-03,0.00959,20
2018-03-04,-0.16915,20
2018-03-05,0.07362,20
2018-03-06,-0.048775,20
2018-03-07,-0.0754725,40
2018-03-08,-0.06474,20
2018-03-09,-0.128555,40
2018-03-11,-0.197065,20
2018-03-12,-0.11038,20
2018-03-13,-0.1126275,40
2018-03-14,-0.02456,20
2018-03-15,-0.13361,20
2018-03-16,-0.067155,20
2018-03-18,0.00271,20
2018-03-19,-0.001675,20
2018-03-20,-0.023761842,76
2018-03-21,-0.011786585,82
2018-03-22,-0.02752043,93
2018-03-23,-0.030045333,75
2018-03-24,0.005636364,11
2018-03-25,-0.092636842,38
2018-03-26,0.026294667,75
2018-03-27,-0.0146,81
2018-03-28,0.03305641,78
2018-03-29,-0.08184557,79
2018-03-30,-0.181863415,41
2018-03-31,-0.17926,5
2018-04-01,0.02145,4
2018-04-02,-0.072491071,56
2018-04-03,0.001644,75
2018-04-04,-0.02930098,102
2018-04-05,-0.02404058,69
2018-04-06,-0.143327273,77
2018-04-07,-0.0188,10
2018-04-08,-0.073127273,11
2018-04-09,-0.026339474,76
2018-04-10,0.003909783,92
2018-04-11,0.03445,88
2018-04-12,0.012076812,69
2018-04-13,-0.022227692,65
2018-04-14,-0.05235,8
2018-04-15,-0.006464865,37
2018-04-16,-0.029667143,70
2018-04-17,-0.030350704,71
2018-04-18,-0.043240678,59
2018-04-19,-0.058798571,70
2018-04-20,-0.044165333,75
2018-04-21,0.028585714,7
2018-04-22,-0.031337143,35
2018-04-23,-0.03422807,57
2018-04-24,0.042497368,76
2018-04-25,-0.016264646,99
2018-04-26,0.059406757,74
2018-04-27,-0.02378125,64
2018-04-28,-0.176418519,27
2018-04-29,0.062346667,15
2018-04-30,-0.019507937,63
2018-05-01,0.018807229,83
2018-05-02,0.032954717,53
2018-05-03,-0.084722951,61
2018-05-04,-0.038842857,63
2018-05-05,0.002776471,34
2018-05-06,-0.011773333,15
2018-05-07,-0.096607273,55
2018-05-08,-0.034592424,66
2018-05-09,-0.034223529,68
2018-05-10,-0.020574138,58
2018-05-11,0.024440323,62
2018-05-12,-0.077965385,26
2018-05-13,-0.1871,6
2018-05-14,0.117704878,82
2018-05-15,-0.018918072,83
2018-05-16,-0.068469565,92
2018-05-17,-0.01794086,93
2018-05-18,-0.06315,94
