Date,Gold_USD,DXY,avg_sentiment,news_count
2015-01-12,27032,91.98,0.041749436,886.0
2015-01-13,27071,92.31,0.0431467,1212.0
2015-01-14,27210,92.16,0.072785081,1173.0
2015-01-15,27493,92.35,0.03186473,1205.0
2015-01-16,27673,92.52,0.052455076,926.0
2015-01-19,27718,92.52,0.125199407,506.0
2015-01-20,28098,93.05,0.073756809,1241.0
2015-01-21,27992,92.9,0.081777288,1180.0
2015-01-22,28055,94.08,0.08999542,1332.0
2015-01-23,27884,94.76,0.057968598,1070.0
2015-01-27,27934,94.02,0.009186986,1460.0
2015-01-28,27795,94.47,0.041865706,1458.0
2015-01-29,27470,94.78,0.023290456,1404.0
2015-01-30,27911,94.8,0.042692747,1103.0
2015-02-02,28071,94.5,0.048288415,1407.0
2015-02-03,27687,93.6,0.071449719,1603.0
2015-02-04,27814,93.99,0.041999333,1500.0
2015-02-05,27683,93.57,0.011378708,1517.0
2015-02-06,26968,95.85,0.063819752,1129.0
2015-02-09,27119,94.45,0.005465763,1291.0
2015-02-10,27016,94.76,0.04494255,1443.0
2015-02-11,26817,94.98,0.053616772,1425.0
2015-02-12,26635,94.09,0.042839581,1478.0
2015-02-13,26694,94.2,0.053815622,1037.0
2015-02-16,26742,94.2,0.04401985,534.0
2015-02-17,26241,94.06,0.066984495,1464.0
2015-02-18,26181,94.2,0.02153065,1553.0
2015-02-19,26294,94.4,0.042942632,1520.0
2015-02-20,26317,94.34,0.07209096,1062.0
2015-02-23,26178,94.57,0.022099268,1367.0
2015-02-24,26077,94.49,0.017335867,1592.0
2015-02-25,26142,94.21,0.044502496,1122.0
2015-02-26,26239,95.29,0.033138183,1574.0
2015-02-27,26206,95.32,0.049456522,1035.0
2015-03-02,26541,95.46,0.070642359,1263.0
2015-03-03,26453,95.38,0.04521668,1289.0
2015-03-04,26539,95.97,0.017417044,1326.0
2015-03-05,26473,96.38,0.047642639,1243.0
2015-03-06,26058,97.61,0.072760469,1065.0
2015-03-09,26062,97.59,0.085973966,1160.0
2015-03-10,25960,98.62,0.071143358,1227.0
2015-03-11,25716,99.8,0.056423897,1201.0
2015-03-12,25690,99.44,0.063975947,1347.0
2015-03-13,25909,100.33,0.041500815,982.0
2015-03-16,25797,99.6,0.034599571,1166.0
2015-03-17,25635,99.58,0.070401049,1334.0
2015-03-18,25653,98.55,0.048258067,1159.0
2015-03-19,25970,99.26,0.063532284,1112.0
2015-03-20,26195,97.91,0.090107312,971.0
2015-03-23,26208,97.03,0.080312642,1060.0
2015-03-24,26350,97.19,0.028056244,1049.0
2015-03-25,26491,96.98,0.049165005,983.0
2015-03-26,26805,97.44,0.060980052,1143.0
2015-03-27,26564,97.29,0.052696804,876.0
2015-03-30,26239,97.97,0.07764188,1053.0
2015-03-31,26061,98.36,0.073751855,1186.0
2015-04-01,26510,98.19,0.0761808,1125.0
2015-04-02,26548,97.44,0.056016556,900.0
2015-04-06,26941,96.78,0.084925659,1025.0
2015-04-07,26829,97.83,0.064589612,799.0
2015-04-08,26682,97.94,0.048597833,969.0
2015-04-09,26452,99.16,0.078672575,1072.0
2015-04-10,26703,99.34,0.07593929,845.0
2015-04-13,26616,99.49,0.10810729,1070.0
2015-04-14,26454,98.73,0.086478212,1074.0
2015-04-15,26644,98.32,0.055870845,1101.0
2015-04-16,26533,97.42,0.068263344,963.0
2015-04-17,26702,97.52,0.068824749,1095.0
2015-04-20,26719,97.94,0.03175319,1207.0
2015-04-21,26803,98.0,0.027136244,1443.0
2015-04-22,26489,97.93,0.061713285,1370.0
2015-04-23,26777,97.28,0.042104811,1538.0
2015-04-24,26574,96.92,0.032860195,1231.0
2015-04-27,26944,96.77,0.028205101,1431.0
2015-04-28,27036,96.09,0.025042747,1820.0
2015-04-29,27096,95.21,0.002602342,1665.0
2015-04-30,26593,94.6,-0.003488198,1720.0
2015-05-01,26483,95.3,0.054890036,1375.0
2015-05-04,26747,95.48,0.023990348,1523.0
2015-05-05,26852,95.08,0.036497277,1873.0
2015-05-06,26928,94.09,0.023791725,1716.0
2015-05-07,26951,94.64,0.025949506,1822.0
2015-05-08,26903,94.79,0.024452099,1215.0
2015-05-11,26853,95.01,0.034777581,1521.0
2015-05-12,27180,94.53,0.038114068,1315.0
2015-05-13,27539,93.62,0.063648553,1244.0
2015-05-14,27444,93.46,0.046882977,1310.0
2015-05-15,27473,93.14,0.048218199,1088.0
2015-05-18,27629,94.22,0.072030922,1258.0
2015-05-19,27309,95.27,0.071181235,1279.0
2015-05-20,27299,95.45,0.061956406,1241.0
2015-05-21,27130,95.25,0.073446575,1241.0
2015-05-22,27105,96.11,0.062858333,984.0
2015-05-25,27180,96.01,0.050709868,304.0
2015-05-26,26917,97.3,0.096297391,1265.0
2015-05-27,26900,97.37,0.072565607,1195.0
2015-05-28,26899,96.97,0.04580087,1150.0
2015-05-29,26866,96.91,0.066270531,1035.0
2015-06-01,26690,97.39,0.048554986,1073.0
2015-06-02,26856,95.83,0.088844854,1195.0
2015-06-03,26806,95.47,0.059784845,937.0
2015-06-04,26564,95.46,0.051590126,1114.0
2015-06-05,26439,96.31,0.079819624,958.0
2015-06-08,26693,95.3,0.10525,1158.0
2015-06-09,26754,95.17,0.074788428,1253.0
2015-06-10,26850,94.65,0.082131261,1190.0
2015-06-11,26772,94.98,0.099017502,1097.0
2015-06-12,26773,94.97,0.08723305,941.0
2015-06-15,26915,94.81,0.068056588,979.0
2015-06-16,26831,95.0,0.085395724,1146.0
2015-06-17,26763,94.3,0.084295013,1123.0
2015-06-18,27031,94.04,0.109859423,1040.0
