Date,Gold_Price,Open_x,High_x,Low_x,Volume,Chg%,USD_Price,Open_y,High_y,Low_y,Change %,avg_sentiment,news_count
2020-07-17,49001,48812,49086,48760,28010,0.39,95.94,96.28,96.33,95.9,-0.42%,-0.042557353,68
2020-07-16,48811,49121,49246,48755,30040,-0.75,96.35,96.0,96.4,95.89,0.28%,-0.060970796,113
2020-07-15,49182,49240,49273,48951,37680,-0.19,96.08,96.17,96.25,95.78,-0.18%,0.00972605,119
2020-07-14,49277,49150,49299,48811,41500,0.2,96.26,96.54,96.7,96.18,-0.21%,-0.029301802,111
2020-07-13,49180,48920,49258,48920,34250,0.61,96.46,96.66,96.68,96.27,-0.19%,0.04769875,80
2020-07-10,48883,48900,49217,48731,38450,-0.03,96.65,96.75,96.97,96.44,-0.05%,0.005203704,81
2020-07-09,48896,49095,49298,48780,46250,-0.54,96.7,96.45,96.81,96.24,0.28%,-0.090029412,102
2020-07-08,49160,48701,49317,48635,42550,0.75,96.43,96.99,97.05,96.4,-0.47%,-0.051450602,83
2020-07-07,48796,48200,48829,48110,44010,1.14,96.88,96.75,97.15,96.6,0.16%,-0.035335955,89
2020-07-06,48247,47976,48300,47830,36250,-0.18,96.72,97.15,97.19,96.57,-0.46%,0.042562162,74
2020-07-03,48336,49304,49304,48100,70,-0.21,97.17,97.21,97.36,97.12,-0.15%,-0.102241667,48
2020-07-02,48437,48340,48529,47970,90,0.08,97.32,97.14,97.34,96.81,0.12%,-0.067364773,88
2020-07-01,48400,48986,49020,48251,330,-0.94,97.2,97.39,97.62,97.03,-0.20%,-0.032966667,99
2020-06-30,48861,48237,48999,48237,630,1.38,97.39,97.4,97.8,97.23,-0.15%,-0.08535283,106
2020-06-29,48194,48420,48513,48080,3740,-0.35,97.54,97.5,97.65,97.11,0.11%,-0.028262338,77
2020-06-26,48363,48030,48431,47825,26210,0.86,97.43,97.35,97.68,97.26,0.00%,-0.073635294,85
2020-06-25,47952,48048,48147,47830,28160,-0.32,97.43,97.24,97.6,97.16,0.29%,-0.013859794,97
