Date,Gold_Close,USD_Close,avg_sentiment,news_count
2017-12-18,28663.0,93.69,-0.07307,40.0
2017-12-19,28555.0,93.44,-0.179765,20.0
2017-12-20,28617.0,93.31,0.00065,20.0
2017-12-21,28596.0,93.28,0.05042,20.0
2017-12-22,28757.0,93.35,0.01347,20.0
2017-12-26,28924.0,93.26,0.01347,20.0
2017-12-27,29092.0,93.03,0.043535,20.0
2017-12-28,29171.0,92.6,0.040825,20.0
2017-12-29,29372.0,92.12,0.040825,20.0
2018-01-01,29324.0,92.25,0.040825,20.0
2018-01-02,29392.0,91.87,0.00127,20.0
2018-01-03,29481.0,92.16,0.04359,20.0
2018-01-04,29472.0,91.85,0.026985,20.0
2018-01-05,29465.0,91.95,-0.04764,20.0
2018-01-08,29270.0,92.36,-0.032445,20.0
2018-01-09,29173.0,92.53,-0.143785,20.0
2018-01-10,29343.0,92.33,-0.02973,40.0
2018-01-11,29404.0,91.85,-0.080525,20.0
2018-01-12,29553.0,90.97,-0.13927,20.0
2018-01-15,29763.0,90.97,-0.18395,20.0
2018-01-16,29830.0,90.39,-0.1842625,40.0
2018-01-17,29761.0,90.54,-0.1531575,40.0
2018-01-18,29644.0,90.5,-0.06904,40.0
2018-01-19,29743.0,90.57,0.11052,20.0
2018-01-22,29806.0,90.4,-0.042425,20.0
2018-01-23,29876.0,90.12,-0.01695,40.0
2018-01-24,30244.0,89.21,-0.06585,20.0
2018-01-25,30367.0,89.39,0.0058,20.0
2018-01-29,30074.0,89.31,-0.116865,20.0
2018-01-30,30052.0,89.16,-0.0659225,40.0
2018-01-31,30064.0,89.13,-0.023725,20.0
2018-02-01,30512.0,88.67,-0.0709925,40.0
2018-02-02,30399.0,89.19,-0.0709925,40.0
2018-02-05,30286.0,89.55,-0.01739,20.0
2018-02-06,30182.0,89.58,-0.1066525,40.0
2018-02-07,29976.0,90.25,-0.053925,20.0
2018-02-08,30103.0,90.23,0.00447,40.0
2018-02-09,29999.0,90.44,-0.16802,20.0
2018-02-12,30133.0,90.21,-0.0384625,40.0
2018-02-13,30195.0,89.7,-0.0384625,40.0
2018-02-14,30605.0,89.12,-0.0911575,40.0
2018-02-15,30549.0,88.59,-0.0911575,40.0
2018-02-16,30785.0,89.1,-0.063115,40.0
2018-02-19,30715.0,89.1,-0.05918,40.0
2018-02-20,30524.0,89.72,-0.015875,20.0
2018-02-21,30459.0,90.0,-0.140075,20.0
2018-02-22,30564.0,89.74,-0.11635,40.0
2018-02-23,30492.0,89.88,-0.00472,20.0
2018-02-26,30518.0,89.85,-0.017825,20.0
2018-02-27,30306.0,90.36,0.053995,40.0
2018-02-28,30423.0,90.61,0.13115,20.0
2018-03-01,30181.0,90.32,-0.093085,20.0
2018-03-02,30473.0,89.94,0.01469,20.0
2018-03-05,30429.0,90.08,0.07362,20.0
2018-03-06,30568.0,89.62,-0.048775,20.0
2018-03-07,30461.0,89.64,-0.0754725,40.0
2018-03-08,30436.0,90.18,-0.06474,20.0
2018-03-09,30408.0,90.09,-0.128555,40.0
2018-03-12,30340.0,89.89,-0.11038,20.0
2018-03-13,30387.0,89.66,-0.1126275,40.0
2018-03-14,30413.0,89.7,-0.02456,20.0
2018-03-15,30314.0,90.14,-0.13361,20.0
2018-03-16,30251.0,90.23,-0.067155,20.0
2018-03-19,30432.0,89.77,-0.001675,20.0
2018-03-20,30284.0,90.37,-0.023761842,76.0
2018-03-21,30464.0,89.78,-0.011786585,82.0
2018-03-22,30506.0,89.86,-0.02752043,93.0
2018-03-23,30901.0,89.48,-0.030045333,75.0
2018-03-26,30889.0,89.03,0.026294667,75.0
2018-03-27,30717.0,89.33,-0.0146,81.0
2018-03-28,30518.0,90.06,0.03305641,78.0
2018-03-29,30426.0,90.15,-0.08184557,79.0
2018-04-02,30961.0,90.05,-0.072491071,56.0
2018-04-03,30625.0,90.2,0.001644,75.0
2018-04-04,30886.0,90.14,-0.02930098,102.0
2018-04-05,30505.0,90.46,-0.02404058,69.0
2018-04-06,30605.0,90.11,-0.143327273,77.0
2018-04-09,30675.0,89.84,-0.026339474,76.0
2018-04-10,30798.0,89.59,0.003909783,92.0
2018-04-11,31244.0,89.57,0.03445,88.0
2018-04-12,30897.0,89.75,0.012076812,69.0
2018-04-13,31005.0,89.8,-0.022227692,65.0
2018-04-16,31167.0,89.42,-0.029667143,70.0
2018-04-17,31257.0,89.52,-0.030350704,71.0
2018-04-18,31410.0,89.62,-0.043240678,59.0
2018-04-19,31479.0,89.94,-0.058798571,70.0
2018-04-20,31314.0,90.32,-0.044165333,75.0
2018-04-23,31164.0,90.95,-0.03422807,57.0
2018-04-24,31262.0,90.77,0.042497368,76.0
2018-04-25,31301.0,91.17,-0.016264646,99.0
2018-04-26,31158.0,91.56,0.059406757,74.0
2018-04-27,31129.0,91.54,-0.02378125,64.0
2018-04-30,30947.0,91.84,-0.019507937,63.0
2018-05-01,30874.0,92.45,0.018807229,83.0
2018-05-02,30926.0,92.51,0.032954717,53.0
2018-05-03,31003.0,92.41,-0.084722951,61.0
2018-05-04,31068.0,92.57,-0.038842857,63.0
2018-05-07,31247.0,92.75,-0.096607273,55.0
2018-05-08,31200.0,93.12,-0.034592424,66.0
2018-05-09,31303.0,93.04,-0.034223529,68.0
2018-05-10,31352.0,92.65,-0.020574138,58.0
2018-05-11,31500.0,92.54,0.024440323,62.0
2018-05-14,31496.0,92.59,0.117704878,82.0
2018-05-15,31186.0,93.22,-0.018918072,83.0
2018-05-16,31007.0,93.39,-0.068469565,92.0
2018-05-17,30986.0,93.47,-0.01794086,93.0
2018-05-18,31093.0,93.64,-0.06315,94.0
2018-05-21,31114.0,93.68,-0.060258571,70.0
2018-05-22,31111.0,93.61,-0.089921739,69.0
2018-05-23,31186.0,94.0,-0.10342381,63.0
2018-05-24,31461.0,93.76,-0.036048649,74.0
2018-05-25,31194.0,94.19,-0.07060274,73.0
2018-05-28,30971.0,94.19,0.006969231,13.0
2018-05-29,31184.0,94.83,-0.067675904,83.0
2018-05-30,31030.0,94.15,-0.018071831,71.0
2018-05-31,30882.0,93.98,-0.103563855,83.0
2018-06-01,30568.0,94.19,-0.107708654,104.0
2018-06-04,30708.0,94.02,-0.102365,100.0
2018-06-05,30699.0,93.9,-0.040316438,73.0
2018-06-06,30755.0,93.66,-0.017615714,70.0
2018-06-07,31055.0,93.4,-0.05321383,94.0
2018-06-08,31076.0,93.55,-0.017393056,72.0
2018-06-11,31035.0,93.58,-0.114966102,59.0
2018-06-12,30952.0,93.8,0.036540909,88.0
2018-06-13,30952.0,93.71,0.005143836,73.0
2018-06-14,31145.0,94.77,0.0433,58.0
2018-06-15,30804.0,94.79,-0.048923377,77.0
2018-06-18,30773.0,94.8,-0.039933333,63.0
2018-06-19,30702.0,95.08,-0.099136559,93.0
2018-06-20,30605.0,95.06,0.003470513,78.0
2018-06-21,30451.0,94.74,0.007175714,70.0
2018-06-22,30498.0,94.52,-0.056708475,59.0
2018-06-25,30540.0,94.28,-0.042623529,85.0
2018-06-26,30480.0,94.66,-0.089247458,59.0
2018-06-27,30606.0,95.27,-0.117763014,73.0
2018-06-28,30431.0,95.39,-0.084658667,75.0
2018-06-29,30363.0,94.64,0.049543284,67.0
2018-07-02,30153.0,95.03,-0.106525333,75.0
2018-07-03,30469.0,94.67,-0.025716071,56.0
2018-07-04,30510.0,94.67,-0.036465957,47.0
2018-07-05,30541.0,94.47,-0.079690164,61.0
2018-07-06,30582.0,94.04,-0.162998438,64.0
2018-07-09,30638.0,94.08,-0.098066667,57.0
2018-07-10,30551.0,94.15,0.013091228,57.0
2018-07-11,30344.0,94.72,-0.129442857,63.0
2018-07-12,30175.0,94.81,-0.0403125,56.0
2018-07-13,30131.0,94.75,-0.027568132,91.0
2018-07-16,30103.0,94.51,0.030072289,83.0
2018-07-17,29757.0,94.94,-0.039666667,81.0
2018-07-18,29799.0,95.08,0.006814943,87.0
2018-07-19,29913.0,95.15,-0.083260215,93.0
2018-07-20,29957.0,94.45,-0.079461765,34.0
2018-07-23,29914.0,94.67,0.001394444,54.0
2018-07-24,29912.0,94.61,-0.0223675,80.0
