Date,Gold_Close,USD_Close,avg_sentiment,news_count,Gold_7day_MA,Gold_30day_MA,USD_7day_MA
2018-01-30,30052.0,89.16,-0.0659225,40.0,30023.14285714286,29426.133333333335,89.73714285714286
2018-01-31,30064.0,89.13,-0.023725,20.0,30069.0,29472.833333333332,89.53142857142858
2018-02-01,30512.0,88.67,-0.0709925,40.0,30169.85714285714,29538.066666666666,89.2842857142857
2018-02-02,30399.0,89.19,-0.0709925,40.0,30244.571428571428,29597.466666666667,89.15142857142857
2018-02-05,30286.0,89.55,-0.01739,20.0,30250.571428571428,29653.8,89.2
2018-02-06,30182.0,89.58,-0.1066525,40.0,30224.14285714286,29701.3,89.22714285714287
2018-02-07,29976.0,90.25,-0.053925,20.0,30210.14285714286,29736.366666666665,89.36142857142856
2018-02-08,30103.0,90.23,0.00447,40.0,30217.428571428572,29770.066666666666,89.51428571428572
2018-02-09,29999.0,90.44,-0.16802,20.0,30208.14285714286,29797.666666666668,89.70142857142856
2018-02-12,30133.0,90.21,-0.0384625,40.0,30154.0,29823.033333333333,89.92142857142858
2018-02-13,30195.0,89.7,-0.0384625,40.0,30124.85714285714,29852.066666666666,89.99428571428572
2018-02-14,30605.0,89.12,-0.0911575,40.0,30170.428571428572,29892.5,89.93285714285715
2018-02-15,30549.0,88.59,-0.0911575,40.0,30222.85714285714,29928.1,89.79142857142857
2018-02-16,30785.0,89.1,-0.063115,40.0,30338.428571428572,29971.866666666665,89.62714285714286
2018-02-19,30715.0,89.1,-0.05918,40.0,30425.85714285714,30013.533333333333,89.46571428571428
2018-02-20,30524.0,89.72,-0.015875,20.0,30500.85714285714,30055.333333333332,89.36285714285714
2018-02-21,30459.0,90.0,-0.140075,20.0,30547.428571428572,30098.2,89.33285714285714
2018-02-22,30564.0,89.74,-0.11635,40.0,30600.14285714286,30138.9,89.33857142857141
2018-02-23,30492.0,89.88,-0.00472,20.0,30584.0,30175.166666666668,89.44714285714285
2018-02-26,30518.0,89.85,-0.017825,20.0,30579.571428571428,30207.333333333332,89.62714285714286
2018-02-27,30306.0,90.36,0.053995,40.0,30511.14285714286,30225.433333333334,89.80714285714285
2018-02-28,30423.0,90.61,0.13115,20.0,30469.428571428572,30245.2,90.02285714285713
2018-03-01,30181.0,90.32,-0.093085,20.0,30420.428571428572,30259.2,90.10857142857142
2018-03-02,30473.0,89.94,0.01469,20.0,30422.428571428572,30286.833333333332,90.10000000000001
2018-03-05,30429.0,90.08,0.07362,20.0,30403.14285714286,30309.7,90.14857142857143
2018-03-06,30568.0,89.62,-0.048775,20.0,30414.0,30335.1,90.11142857142856
2018-03-07,30461.0,89.64,-0.0754725,40.0,30405.85714285714,30354.6,90.08142857142857
2018-03-08,30436.0,90.18,-0.06474,20.0,30424.428571428572,30361.0,90.05571428571429
2018-03-09,30408.0,90.09,-0.128555,40.0,30422.285714285714,30362.366666666665,89.98142857142857
2018-03-12,30340.0,89.89,-0.11038,20.0,30445.0,30371.233333333334,89.92
2018-03-13,30387.0,89.66,-0.1126275,40.0,30432.714285714286,30382.4,89.88
2018-03-14,30413.0,89.7,-0.02456,20.0,30430.428571428572,30394.033333333333,89.82571428571428
2018-03-15,30314.0,90.14,-0.13361,20.0,30394.14285714286,30387.433333333334,89.9
2018-03-16,30251.0,90.23,-0.067155,20.0,30364.14285714286,30382.5,89.98428571428572
2018-03-19,30432.0,89.77,-0.001675,20.0,30363.571428571428,30387.366666666665,89.92571428571429
2018-03-20,30284.0,90.37,-0.023761842,76.0,30345.85714285714,30390.766666666666,89.96571428571428
2018-03-21,30464.0,89.78,-0.011786585,82.0,30363.571428571428,30407.033333333333,89.95
2018-03-22,30506.0,89.86,-0.02752043,93.0,30380.571428571428,30420.466666666667,89.97857142857143
2018-03-23,30901.0,89.48,-0.030045333,75.0,30450.285714285714,30450.533333333333,89.94714285714285
2018-03-26,30889.0,89.03,0.026294667,75.0,30532.428571428572,30475.733333333334,89.78857142857143
2018-03-27,30717.0,89.33,-0.0146,81.0,30599.0,30493.133333333335,89.66
2018-03-28,30518.0,90.06,0.03305641,78.0,30611.285714285714,30490.233333333334,89.70142857142856
