Date,Gold_Close,USD_Close
2017-12-18,28663.0,93.69
2017-12-19,28555.0,93.44
2017-12-20,28617.0,93.31
2017-12-21,28596.0,93.28
2017-12-22,28757.0,93.35
2017-12-26,28924.0,93.26
2017-12-27,29092.0,93.03
2017-12-28,29171.0,92.6
2017-12-29,29372.0,92.12
2018-01-01,29324.0,92.25
2018-01-02,29392.0,91.87
2018-01-03,29481.0,92.16
2018-01-04,29472.0,91.85
2018-01-05,29465.0,91.95
2018-01-08,29270.0,92.36
2018-01-09,29173.0,92.53
2018-01-10,29343.0,92.33
2018-01-11,29404.0,91.85
2018-01-12,29553.0,90.97
2018-01-15,29763.0,90.97
2018-01-16,29830.0,90.39
2018-01-17,29761.0,90.54
2018-01-18,29644.0,90.5
2018-01-19,29743.0,90.57
2018-01-22,29806.0,90.4
2018-01-23,29876.0,90.12
2018-01-24,30244.0,89.21
2018-01-25,30367.0,89.39
2018-01-29,30074.0,89.31
2018-01-30,30052.0,89.16
2018-01-31,30064.0,89.13
2018-02-01,30512.0,88.67
2018-02-02,30399.0,89.19
2018-02-05,30286.0,89.55
2018-02-06,30182.0,89.58
2018-02-07,29976.0,90.25
2018-02-08,30103.0,90.23
2018-02-09,29999.0,90.44
2018-02-12,30133.0,90.21
2018-02-13,30195.0,89.7
2018-02-14,30605.0,89.12
2018-02-15,30549.0,88.59
2018-02-16,30785.0,89.1
2018-02-19,30715.0,89.1
2018-02-20,30524.0,89.72
2018-02-21,30459.0,90.0
2018-02-22,30564.0,89.74
2018-02-23,30492.0,89.88
2018-02-26,30518.0,89.85
2018-02-27,30306.0,90.36
2018-02-28,30423.0,90.61
2018-03-01,30181.0,90.32
2018-03-02,30473.0,89.94
2018-03-05,30429.0,90.08
2018-03-06,30568.0,89.62
2018-03-07,30461.0,89.64
2018-03-08,30436.0,90.18
2018-03-09,30408.0,90.09
2018-03-12,30340.0,89.89
2018-03-13,30387.0,89.66
2018-03-14,30413.0,89.7
2018-03-15,30314.0,90.14
2018-03-16,30251.0,90.23
2018-03-19,30432.0,89.77
